cardId,cardName,Rookie,Auto,Relic,Parallel,NumberedTo,Year,Sport,Set,Player,,
1,Zion Williamson RC 2019 Prizm 248 Silver,1,0,0,Silver,0,2019,Basketball,Prizm,Zion Williamson,,
2,Ja Morant RC 2019 Prizm 249 Silver,1,0,0,Silver,0,2019,Basketball,Prizm,Ja Morant,,
3,Tyler Herro RC 2019 Prizm 259 Silver,1,0,0,Silver,0,2019,Basketball,Prizm,Tyler Herro,,
4,Darius Garland RC 2019 Prizm 288 Silver,1,0,0,Silver,0,2019,Basketball,Prizm,Darius Garland,,
5,Luka Doncic RC  2018 Prizm 280 Silver,1,0,0,Silver,0,2018,Basketball,Prizm,Luka Doncic,,
6,Trae Young RC 2018 Prizm 78 Silver,1,0,0,Silver,0,2018,Basketball,Prizm,Trae Young,,
7,Trae Young  RC 2018 Prizm RS TYG Rookie Signature,1,1,0,Base,0,2018,Basketball,Prizm,Trae Young,,
8,Shai Gilgeous-Alexander RC  2018 Prizm 184 Silver,1,0,0,Silver,0,2018,Basketball,Prizm,Shai Gilgeous-Alexander,,
9,Shai Gilgeous-Alexander RC 2018 Optic 162 Holo,1,0,0,Holo,0,2018,Basketball,Optic,Shai Gilgeous-Alexander,,
10,Luka Doncic RC 2018 Select 229 Courtside Silver,1,0,0,Silver,0,2018,Basketball,Select,Luka Doncic,,
11,Trae Young  RC 2018 Select 249 Courtside Silver,1,0,0,Silver,0,2018,Basketball,Select,Trae Young,,
12,Jayson Tatum RC  2017 Prizm 16 Green,1,0,0,Base,0,2017,Basketball,Prizm,Jayson Tatum,,
13,De'Aaron Fox  RC 2017 Prizm 24 Silver,1,0,0,Silver,0,2017,Basketball,Prizm,De'Aaron Fox,,
14,Donovan Mitchell  RC 2017 Prizm 117 Silver,1,0,0,Silver,0,2017,Basketball,Prizm,Donovan Mitchell,,
15,Brandon Ingram  RC 2016 Prizm 131 Silver,1,0,0,Silver,0,2016,Basketball,Prizm,Brandon Ingram,,
16,Jaylen Brown RC 2016 Prizm 44 Silver,1,0,0,Silver,0,2016,Basketball,Prizm,Jaylen Brown,,
17,Jamal Murray  RC 2016 Prizm 175,1,0,0,Base,0,2016,Basketball,Prizm,Jamal Murray,,
18,Karl-Anthony Towns  RC  2015 Prizm 328 Silver,1,0,0,Silver,0,2015,Basketball,Prizm,Karl-Anthony Towns,,
