Got,Set,Player,Card Number,Grade,Cost,Date
,1998-99 Topps Roundball Royalty Refractor,Michael Jordan,R1,,,
,1998-99 Topps Roundball Royalty Refractor,Kevin Garnett,R2,,,
,1998-99 Topps Roundball Royalty Refractor,David Robinson,R3,,,
,1998-99 Topps Roundball Royalty Refractor,Allen Iverson,R4,,,
,1998-99 Topps Roundball Royalty Refractor,Hakeem Olajuwon,R5,,,
,1998-99 Topps Roundball Royalty Refractor,Anfernee Hardaway,R6,,,
,1998-99 Topps Roundball Royalty Refractor,Gary Payton,R7,,,
,1998-99 Topps Roundball Royalty Refractor,Scottie Pippen,R8,,,
,1998-99 Topps Roundball Royalty Refractor,Shaquille O'Neal,R9,,,
,1998-99 Topps Roundball Royalty Refractor,Mitch Richmond,R10,,,
,1998-99 Topps Roundball Royalty Refractor,John Stockton,R11,,,
,1998-99 Topps Roundball Royalty Refractor,Grant Hill,R12,,,
,1998-99 Topps Roundball Royalty Refractor,Charles Barkley,R13,,,
,1998-99 Topps Roundball Royalty Refractor,Dikembe Mutombo,R14,,,
,1998-99 Topps Roundball Royalty Refractor,Karl Malone,R15,,,
,1998-99 Topps Roundball Royalty Refractor,Shawn Kemp,R16,,,
,1998-99 Topps Roundball Royalty Refractor,Patrick Ewing,R17,,,
,1998-99 Topps Roundball Royalty Refractor,Kobe Bryant,R18,,,
,1998-99 Topps Roundball Royalty Refractor,Terrell Brandon,R19,,,
,1998-99 Topps Roundball Royalty Refractor,Vin Baker,R20,,,
