Sport,Year,Manufacturer,Athlete,Number,Description,Grade,Certification No.,Purchase Date,Purchase From,Purchase Price,Sold Date,Sold Price,Sold Payment Received,Expenses Shipping,Expenses Grading,Expenses Fees,Profit,ROI
Football,2014,Topps Chrome,Aaron Donald,175,Blue Wave Refractor,,,,Box,$100.00,,,,,,,,
Basketball,2022-23,Prizm,Max Christie,270,"Rookie, Purple Cracked",-,,3/28/2024,eBay,$32.50,,,,,,,,
Basketball,2023-24,Prizm,Max Christie,RSI-MAX,Rookie Card Auto,,,3/28/2024,eBay,$10.95,,,,,,,,
Soccer,2023-24,Prizm,Kobbie Mainoo,38,"Rookie, Pink Prizm /149",,,3/29/2024,eBay,$15.84,,,,,,,,
Soccer,2020-21,Prizm,Mason Greenwood,15,"Rookie, Purple Prizm /99",,,3/29/2024,eBay,$32.30,,,,,,,,
Soccer,2022-23,Panini Select,Marcus Rashford,121,Pink Ice Mezzanine,,,3/30/2024,eBay,$1.99,,,,,,,,
Soccer,2021-22,Prizm,Bruno Fernandes,279,Green Wave,,,3/30/2024,eBay,$1.99,,,,,,,,
Soccer,2022-23,Donruss,Alejandro Garnacho,199,Rated Rookie,,,3/30/2024,eBay,$1.99,,,,,,,,
Soccer,2020-21,Topps Merlin Chrome,Marcus Rashford,W-MR,Chrome Wizards of the pitch,,,3/30/2024,eBay,$1.99,,,,,,,,
Soccer,2020-21,Prizm,Donny van de Beek,10,Blue Breakaway,,,3/30/2024,eBay,$1.99,,,,,,,,
Soccer,2023-24,Donruss Optic,Manchester United,-,,,,3/30/2024,eBay,$1.99,,,,,,,,
Soccer,2022-23,Topps Merlin Chrome UEFA,Roy Keane,AA-5,Ageless Alchemy,,,3/30/2024,eBay,$1.99,,,,,,,,
Soccer,2022-23,Donruss Optic,Tyrell Malacia,200,"Rated Rooke, Orange Ice",,,3/30/2024,eBay,$1.99,,,,,,,,
Soccer,2021-22,Topps Merlin Chrome UEFA,Donny van de Beek,82,Pink Wave,,,3/30/2024,eBay,$1.99,,,,,,,,
